DATAFLOW,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,BASE_PER,NATURE,TIME_DETAIL,COMMENT_OBS,TIME_COVERAGE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_TS,GEO_INFO_URL,GEO_INFO_TYPE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FJ,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0,X,0,PT,,C,2019,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FJ,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0.05,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FJ,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0.02,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FJ,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,NR,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0,X,0,PT,,C,2019,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,NR,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,NR,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2005,0,X,0,PT,,C,2005,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2013,0,X,0,PT,,C,2013,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2014,0.04,X,0,PT,,C,2014,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,0,X,0,PT,,C,2015,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,0,X,0,PT,,C,2016,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2017,0,X,0,PT,,C,2017,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TO,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0.02,X,0,PT,,C,2018,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,WS,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,WS,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2023,0,X,0,PT,,C,2023,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2013,0.01,X,0,PT,,C,2013,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2014,0,X,0,PT,,C,2014,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,0.03,X,0,PT,,C,2015,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,0.02,X,0,PT,,C,2016,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2017,0.03,X,0,PT,,C,2017,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0.05,X,0,PT,,C,2018,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0.01,X,0,PT,,C,2019,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,SB,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,0,X,0,PT,,C,2015,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,0.01,X,0,PT,,C,2016,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2017,0,X,0,PT,,C,2017,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0,X,0,PT,,C,2018,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0,X,0,PT,,C,2019,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,MH,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0.03,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,VU,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0.41,X,0,PT,,C,2018,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,VU,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0.11,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,VU,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TV,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,0.09,X,0,PT,,C,2016,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TV,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0.26,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,TV,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0,X,0,PT,,C,2022,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FM,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2006,0,X,0,PT,,C,2006,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FM,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0,X,0,PT,,C,2018,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FM,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0.02,X,0,PT,,C,2019,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,FM,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0,X,0,PT,,C,2021,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
SPC:DF_SDG_11(4.4),A,G,VC_DSR_LSGP,PG,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0,X,0,PT,,C,2020,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,2026-03-12T00:00:00
